open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
2024-01-01 00:00:00,101.777,102.510,101.629,102.379,70012,2024-01-01 00:04:59.999,6852.46062846,1292,31922,3124.24887088,0
2024-01-01 00:05:00,102.370,102.555,102.205,102.370,57305,2024-01-01 00:09:59.999,5596.21337586,758,30674,2995.04744255,0
2024-01-01 00:10:00,102.363,102.856,102.363,102.446,23107,2024-01-01 00:14:59.999,2252.40521455,555,11947,1164.83189402,0
2024-01-01 00:15:00,102.475,102.607,102.341,102.351,13984,2024-01-01 00:19:59.999,1365.16158804,399,7274,710.08339140,0
2024-01-01 00:20:00,102.345,102.466,101.787,102.297,45905,2024-01-01 00:24:59.999,4498.33824079,840,21371,2094.28037584,0
2024-01-01 00:25:00,102.295,102.502,101.849,102.156,17052,2024-01-01 00:29:59.999,1670.88679873,546,9233,904.72697754,0
2024-01-01 00:30:00,102.134,102.289,101.712,102.017,20130,2024-01-01 00:34:59.999,1975.30123006,526,9896,970.97555639,0
2024-01-01 00:35:00,102.010,102.524,101.920,102.464,49799,2024-01-01 00:39:59.999,4869.98234565,777,33874,3312.29408562,0
2024-01-01 00:40:00,102.483,102.483,102.149,102.244,12909,2024-01-01 00:44:59.999,1262.29182888,233,6286,614.51807955,0
2024-01-01 00:45:00,102.239,102.320,102.044,102.059,14872,2024-01-01 00:49:59.999,1454.89767493,276,5456,533.70485128,0
2024-01-01 00:50:00,102.071,102.381,102.001,102.264,18366,2024-01-01 00:54:59.999,1796.32082912,333,10772,1053.21362646,0
2024-01-01 00:55:00,102.308,102.308,102.033,102.034,4729,2024-01-01 00:59:59.999,462.99770486,195,1970,192.90686709,0
2024-01-01 01:00:00,102.031,102.031,101.645,101.926,40044,2024-01-01 01:04:59.999,3933.88545045,727,13507,1326.56740124,0
2024-01-01 01:05:00,101.917,102.584,101.825,102.355,24677,2024-01-01 01:09:59.999,2411.08023621,558,13718,1340.33579502,0
2024-01-01 01:10:00,102.364,102.662,102.306,102.487,18443,2024-01-01 01:14:59.999,1799.44539398,446,10958,1069.11643537,0
2024-01-01 01:15:00,102.470,102.599,102.256,102.363,10190,2024-01-01 01:19:59.999,995.11956505,276,5446,531.97684222,0
2024-01-01 01:20:00,102.368,102.458,102.262,102.280,9610,2024-01-01 01:24:59.999,938.98444380,234,5405,528.18500673,0
2024-01-01 01:25:00,102.272,102.604,102.260,102.471,9067,2024-01-01 01:29:59.999,885.16746729,260,4703,459.18199795,0
2024-01-01 01:30:00,102.471,103.203,102.471,103.046,34435,2024-01-01 01:34:59.999,3343.70516026,780,19829,1925.83008204,0
2024-01-01 01:35:00,103.040,104.472,103.027,104.202,99634,2024-01-01 01:39:59.999,9587.46968509,1739,45204,4351.59501272,0
2024-01-01 01:40:00,104.185,104.595,104.061,104.453,66521,2024-01-01 01:44:59.999,6372.32531273,1191,30893,2960.26303708,0
2024-01-01 01:45:00,104.454,104.854,104.225,104.297,52759,2024-01-01 01:49:59.999,5044.88407538,1104,24798,2371.24184504,0
2024-01-01 01:50:00,104.353,104.525,104.238,104.284,24901,2024-01-01 01:54:59.999,2384.72516312,472,9949,952.97654201,0
2024-01-01 01:55:00,104.267,104.509,103.920,104.204,45546,2024-01-01 01:59:59.999,4372.41722493,791,25029,2402.51518821,0
