time,side,order_type,time_in_force,original_quantity,price,average_price,order_status,last_fill_quantity,accumulated_fill_quantity
2024-01-02 00:24:53.424,BUY,LIMIT,IOC,4,0.093651,0.09252,FILLED,4,4
2024-01-02 00:46:32.567,BUY,LIMIT,IOC,26,0.094041,0.09307,FILLED,26,26
2024-01-02 00:47:21.846,BUY,LIMIT,IOC,395,0.094473,0.09338,FILLED,43,395
2024-01-02 07:34:50.307,BUY,LIMIT,IOC,15,0.095045,0.09396,FILLED,15,15
2024-01-02 08:50:02.543,BUY,LIMIT,IOC,2,0.095516,0.09439,FILLED,2,2
2024-01-02 14:55:51.498,SELL,LIMIT,IOC,2,0.090367,0.09145,FILLED,2,2
2024-01-02 20:52:33.554,SELL,LIMIT,IOC,46,0.089899,0.09095,FILLED,39,46
2024-01-02 21:04:07.800,SELL,LIMIT,IOC,24,0.089592,0.090629,FILLED,1,24
2024-01-03 11:49:37.100,SELL,LIMIT,IOC,1,0.089442,0.0905,FILLED,1,1
2024-01-03 11:50:31.878,SELL,LIMIT,IOC,101,0.089277,0.090331,FILLED,14,101
2024-01-03 11:51:48.529,SELL,LIMIT,IOC,60,0.089215,0.09028,FILLED,32,60
2024-01-03 11:54:52.432,SELL,LIMIT,IOC,2,0.089037,0.09009,FILLED,2,2
2024-01-03 11:55:19.248,SELL,LIMIT,IOC,5,0.088856,0.08998,FILLED,5,5
2024-01-03 11:55:53.728,SELL,LIMIT,IOC,20,0.08871,0.08967,FILLED,19,20
2024-01-03 11:55:55.296,SELL,LIMIT,IOC,112,0.088606,0.08956,FILLED,60,112
2024-01-03 11:55:56.607,SELL,LIMIT,IOC,5,0.088601,0.08954,FILLED,5,5
2024-01-03 11:55:57.792,SELL,LIMIT,IOC,35,0.088549,0.08943,FILLED,13,35
2024-01-03 11:56:00.560,SELL,LIMIT,IOC,21,0.088412,0.08937,FILLED,21,21
2024-01-03 11:56:03.043,SELL,LIMIT,IOC,17,0.088361,0.08908,FILLED,4,17
2024-01-03 11:56:04.849,SELL,LIMIT,IOC,19,0.088311,0.08909,FILLED,19,19
2024-01-03 11:56:09.520,SELL,LIMIT,IOC,5,0.0881,0.08918,FILLED,5,5
2024-01-03 12:01:09.214,SELL,LIMIT,IOC,3,0.088064,0.08901,FILLED,3,3
2024-01-03 12:01:15.306,SELL,LIMIT,IOC,256,0.087833,0.08884,FILLED,75,256
2024-01-03 12:01:20.126,SELL,LIMIT,IOC,5,0.087745,0.08838,FILLED,5,5
2024-01-03 12:01:22.099,SELL,LIMIT,IOC,17,0.087629,0.08827,FILLED,13,17
2024-01-03 12:01:24.199,SELL,LIMIT,IOC,20,0.087525,0.088055,FILLED,10,20
2024-01-03 12:01:26.164,SELL,LIMIT,IOC,74,0.087407,0.08823,FILLED,21,74
2024-01-03 12:01:28.068,SELL,LIMIT,IOC,5110,0.087068,0.087881,FILLED,225,5110
2024-01-03 12:01:30.202,SELL,LIMIT,IOC,20,0.087205,0.08784,FILLED,20,20
2024-01-03 12:01:32.358,SELL,LIMIT,IOC,9,0.087071,0.08746,FILLED,9,9
2024-01-03 12:01:33.553,SELL,LIMIT,IOC,400,0.087032,0.08715,FILLED,400,400
2024-01-03 12:01:34.714,SELL,LIMIT,IOC,20,0.086883,0.08741,FILLED,20,20
2024-01-03 12:01:36.877,SELL,LIMIT,IOC,2743,0.086847,0.08712,FILLED,617,2743
2024-01-03 12:01:39.110,SELL,LIMIT,IOC,94,0.086799,0.087049,FILLED,52,94
2024-01-03 12:01:41.775,SELL,LIMIT,IOC,1,0.086645,0.086645,FILLED,1,1
2024-01-03 12:01:43.256,SELL,LIMIT,IOC,3,0.086552,0.086552,FILLED,3,3
2024-01-03 12:01:45.206,SELL,LIMIT,IOC,11,0.086475,0.086475,FILLED,11,11
2024-01-03 12:01:46.219,SELL,LIMIT,IOC,80,0.086303,0.086303,FILLED,80,80
2024-01-03 12:01:48.094,SELL,LIMIT,IOC,6,0.086135,0.086135,FILLED,6,6
2024-01-03 12:01:49.180,SELL,LIMIT,IOC,7640,0.085343,0.085343,FILLED,7640,7640
2024-01-03 12:01:50.211,SELL,LIMIT,IOC,57,0.085704,0.085704,FILLED,57,57
2024-01-03 12:01:52.054,SELL,LIMIT,IOC,74,0.085554,0.085554,FILLED,74,74
2024-01-03 12:01:53.126,SELL,LIMIT,IOC,4,0.085222,0.085222,FILLED,4,4
2024-01-03 12:01:54.360,SELL,LIMIT,IOC,6,0.085182,0.085182,FILLED,6,6
2024-01-03 12:01:55.485,SELL,LIMIT,IOC,16,0.085166,0.085166,FILLED,16,16
2024-01-03 12:01:56.533,SELL,LIMIT,IOC,31,0.084941,0.084941,FILLED,31,31
2024-01-03 12:01:57.576,SELL,LIMIT,IOC,5337,0.084462,0.084462,FILLED,5337,5337
2024-01-03 12:08:23.856,SELL,LIMIT,IOC,36,0.084658,0.08521,FILLED,36,36
