time,side,order_type,time_in_force,original_quantity,price,average_price,order_status,last_fill_quantity,accumulated_fill_quantity
2024-01-01 00:05:49.554,BUY,LIMIT,IOC,3,2302.09,2291.22,FILLED,1,3
2024-01-01 00:15:19.612,BUY,LIMIT,IOC,2,2309.32,2298.37,FILLED,2,2
2024-01-01 01:36:03.307,BUY,LIMIT,IOC,3,2315.15,2304.15,FILLED,3,3
2024-01-01 03:23:50.626,SELL,LIMIT,IOC,1510,2273.22,2283.95,FILLED,213,1510
2024-01-01 03:23:52.484,SELL,LIMIT,IOC,1,2272.88,2283.84,FILLED,1,1
2024-01-01 03:46:10.176,SELL,LIMIT,IOC,137,2261.92,2272.64,FILLED,120,137
2024-01-01 04:18:48.084,SELL,LIMIT,IOC,661,2260.41,2271.45,FILLED,661,661
2024-01-01 04:20:39.697,SELL,LIMIT,IOC,975,2257.29,2268.25,FILLED,271,975
2024-01-01 09:38:22.148,BUY,LIMIT,IOC,2,2307.61,2297.77,FILLED,2,2
2024-01-01 09:43:38.294,BUY,LIMIT,IOC,3,2310.89,2299.72,FILLED,3,3
2024-01-01 15:44:23.086,BUY,LIMIT,IOC,1000,2329.21,2317.77,FILLED,1000,1000
2024-01-01 15:44:35.203,BUY,LIMIT,IOC,34,2329.56,2318.7,FILLED,34,34
2024-01-01 15:45:37.165,BUY,LIMIT,IOC,20,2330.84,2319.87,FILLED,20,20
2024-01-01 18:08:09.363,BUY,LIMIT,IOC,1,2335.2,2325.58,FILLED,1,1
2024-01-01 18:08:40.206,BUY,LIMIT,IOC,206,2338.38,2328.13,FILLED,206,206
2024-01-01 18:13:43.262,BUY,LIMIT,IOC,74,2342.49,2330.8,FILLED,74,74
2024-01-01 20:06:18.387,BUY,LIMIT,IOC,929,2357.35,2345.85,FILLED,408,929
2024-01-01 21:43:52.706,SELL,LIMIT,IOC,2455,2326.08,2337.51,FILLED,1586,2455
2024-01-01 23:28:34.571,BUY,LIMIT,IOC,13,2362.49,2350.77,FILLED,13,13
2024-01-01 23:38:51.059,BUY,LIMIT,IOC,96,2365.18,2354.25,FILLED,96,96
2024-01-01 23:58:31.330,BUY,LIMIT,IOC,276,2365.57,2354.0,FILLED,276,276
2024-01-02 00:06:47.021,BUY,LIMIT,IOC,73,2369.68,2358.62,FILLED,73,73
2024-01-02 00:15:29.741,BUY,LIMIT,IOC,145,2376.18,2365.45,FILLED,145,145
2024-01-02 00:15:31.577,BUY,LIMIT,IOC,3527,2376.91,2366.0,FILLED,2359,3527
2024-01-02 00:15:36.067,BUY,LIMIT,IOC,1508,2378.68,2368.5,FILLED,742,1508
2024-01-02 00:17:40.781,BUY,LIMIT,IOC,72,2383.14,2373.16,FILLED,71,72
2024-01-02 00:18:06.830,BUY,LIMIT,IOC,151,2385.09,2375.09,FILLED,151,151
2024-01-02 00:22:58.581,BUY,LIMIT,IOC,1151,2393.31,2383.15,FILLED,435,1151
2024-01-02 00:32:36.557,BUY,LIMIT,IOC,1828,2396.01,2384.66,FILLED,1100,1828
2024-01-02 08:15:40.805,BUY,LIMIT,IOC,4,2409.57,2399.36,FILLED,4,4
2024-01-02 08:17:19.177,BUY,LIMIT,IOC,5,2411.93,2400.38,FILLED,5,5
2024-01-02 08:18:36.106,BUY,LIMIT,IOC,54,2416.16,2405.02,FILLED,20,54
2024-01-02 08:21:18.377,BUY,LIMIT,IOC,149,2421.81,2410.63,FILLED,149,149
2024-01-02 08:31:20.333,BUY,LIMIT,IOC,1,2439.85,2429.83,FILLED,1,1
2024-01-02 08:32:06.756,BUY,LIMIT,IOC,530,2443.56,2431.28,FILLED,351,530
2024-01-02 09:38:29.783,SELL,LIMIT,IOC,49,2410.62,2422.6,FILLED,49,49
