time,side,order_type,time_in_force,original_quantity,price,average_price,order_status,last_fill_quantity,accumulated_fill_quantity
2024-01-01 01:46:51.855,BUY,LIMIT,IOC,97,107.398,104.779,FILLED,55,97
2024-01-01 12:55:38.581,BUY,LIMIT,IOC,749,108.884,106.203,FILLED,72,749
2024-01-01 16:06:11.383,BUY,LIMIT,IOC,66,109.409,106.781,FILLED,1,66
2024-01-01 16:08:13.202,BUY,LIMIT,IOC,26,109.686,106.978,FILLED,9,26
2024-01-01 16:09:38.167,BUY,LIMIT,IOC,460,109.838,107.191,FILLED,3,460
2024-01-01 16:09:44.727,BUY,LIMIT,IOC,109,110.01,107.434,FILLED,23,109
2024-01-01 16:09:56.269,BUY,LIMIT,IOC,1,110.122,107.694,FILLED,1,1
2024-01-01 16:09:58.518,BUY,LIMIT,IOC,1,110.561,107.855,FILLED,1,1
2024-01-01 16:10:02.768,BUY,LIMIT,IOC,103,110.687,108.071,FILLED,6,103
2024-01-01 16:10:08.768,BUY,LIMIT,IOC,1,111.099,108.329,FILLED,1,1
2024-01-01 18:28:13.955,BUY,LIMIT,IOC,8,111.312,108.571,FILLED,8,8
2024-01-01 19:23:53.501,BUY,LIMIT,IOC,3,111.331,108.598,FILLED,2,3
2024-01-01 19:25:11.369,BUY,LIMIT,IOC,110,111.765,108.993,FILLED,13,110
2024-01-01 20:04:12.441,BUY,LIMIT,IOC,2,112.182,109.427,FILLED,2,2
2024-01-01 20:04:52.364,BUY,LIMIT,IOC,10,112.267,109.515,FILLED,4,10
2024-01-02 00:00:03.673,BUY,LIMIT,IOC,77,112.882,110.08,FILLED,30,77
2024-01-02 00:59:36.681,BUY,LIMIT,IOC,17,113.578,110.942,FILLED,17,17
2024-01-02 00:59:44.388,BUY,LIMIT,IOC,340,113.69,110.994,FILLED,49,340
2024-01-02 01:00:28.212,BUY,LIMIT,IOC,17,113.993,111.25,FILLED,17,17
2024-01-02 01:01:46.276,BUY,LIMIT,IOC,109,114.108,111.466,FILLED,81,109
2024-01-02 01:03:08.719,BUY,LIMIT,IOC,2,114.461,111.719,FILLED,1,2
2024-01-02 01:04:44.459,BUY,LIMIT,IOC,6009,114.812,111.977,FILLED,62,6009
2024-01-02 01:05:11.747,BUY,LIMIT,IOC,10,114.905,112.048,FILLED,4,10
2024-01-02 01:07:22.287,BUY,LIMIT,IOC,4937,115.311,112.627,FILLED,25,4937
2024-01-02 01:07:27.676,BUY,LIMIT,IOC,2,115.421,112.536,FILLED,2,2
2024-01-02 07:03:37.235,BUY,LIMIT,IOC,1422,116.711,113.993,FILLED,1194,1422
2024-01-02 07:27:48.395,BUY,LIMIT,IOC,2,117.199,114.279,FILLED,2,2
2024-01-02 07:29:39.542,BUY,LIMIT,IOC,554,117.448,114.52,FILLED,230,554
2024-01-02 08:21:42.106,BUY,LIMIT,IOC,78,117.924,115.006,FILLED,66,78
2024-01-02 08:38:34.182,BUY,LIMIT,IOC,20,118.144,115.254,FILLED,12,20
2024-01-02 09:27:21.131,BUY,LIMIT,IOC,4550,119.128,116.352,FILLED,79,4550
2024-01-02 09:27:27.621,BUY,LIMIT,IOC,707,119.401,116.626,FILLED,55,707
2024-01-02 09:29:20.199,BUY,LIMIT,IOC,44,119.561,116.591,FILLED,16,44
2024-01-02 09:32:17.718,BUY,LIMIT,IOC,14,119.949,116.999,FILLED,14,14
2024-01-02 09:32:45.817,BUY,LIMIT,IOC,14,120.052,117.073,FILLED,14,14
2024-01-02 11:44:52.079,SELL,LIMIT,IOC,23,111.324,114.112,FILLED,23,23
2024-01-02 11:45:27.900,SELL,LIMIT,IOC,6,111.26,113.89,FILLED,6,6
2024-01-02 11:50:38.900,SELL,LIMIT,IOC,11,110.747,113.282,FILLED,2,11
2024-01-02 14:25:23.811,SELL,LIMIT,IOC,11,110.114,112.8,FILLED,6,11
2024-01-02 14:25:27.963,SELL,LIMIT,IOC,5,109.978,112.682,FILLED,5,5
2024-01-02 14:26:30.434,SELL,LIMIT,IOC,1,109.565,112.276,FILLED,1,1
2024-01-02 14:26:45.573,SELL,LIMIT,IOC,3,109.42,112.165,FILLED,3,3
2024-01-02 14:31:43.819,SELL,LIMIT,IOC,251,109.232,111.886,FILLED,38,251
2024-01-02 14:31:45.606,SELL,LIMIT,IOC,9,109.115,111.794,FILLED,9,9
2024-01-02 14:32:05.048,SELL,LIMIT,IOC,4,109.07,111.767,FILLED,3,4
2024-01-02 14:33:25.674,SELL,LIMIT,IOC,1,108.941,111.67,FILLED,1,1
2024-01-02 14:33:49.473,SELL,LIMIT,IOC,4,108.915,111.675,FILLED,2,4
